TEMP	SOAKTIME	SOAKPCT	DFTIME	DIFFPCT	PITCH
1.650000000e+003	5.800000000e-001	1.100000000e+000	2.500000000e-001	9.000000000e-001	1.300000000e-002
1.650000000e+003	6.600000000e-001	1.100000000e+000	3.300000000e-001	9.000000000e-001	1.600000000e-002
1.650000000e+003	6.600000000e-001	1.100000000e+000	3.300000000e-001	9.000000000e-001	1.500000000e-002
1.650000000e+003	6.600000000e-001	1.100000000e+000	3.300000000e-001	9.500000000e-001	1.600000000e-002
1.600000000e+003	6.600000000e-001	1.150000000e+000	3.300000000e-001	1.000000000e+000	1.500000000e-002
1.600000000e+003	6.600000000e-001	1.150000000e+000	3.300000000e-001	1.000000000e+000	1.600000000e-002
1.650000000e+003	1.000000000e+000	1.100000000e+000	5.000000000e-001	8.000000000e-001	1.400000000e-002
1.650000000e+003	1.170000000e+000	1.100000000e+000	5.800000000e-001	8.000000000e-001	2.100000000e-002
1.650000000e+003	1.170000000e+000	1.100000000e+000	5.800000000e-001	8.000000000e-001	1.800000000e-002
1.650000000e+003	1.170000000e+000	1.100000000e+000	5.800000000e-001	8.000000000e-001	1.900000000e-002
1.650000000e+003	1.170000000e+000	1.100000000e+000	5.800000000e-001	9.000000000e-001	2.100000000e-002
1.650000000e+003	1.170000000e+000	1.100000000e+000	5.800000000e-001	9.000000000e-001	1.900000000e-002
1.650000000e+003	1.170000000e+000	1.150000000e+000	5.800000000e-001	9.000000000e-001	2.100000000e-002
1.650000000e+003	1.200000000e+000	1.150000000e+000	1.100000000e+000	8.000000000e-001	2.500000000e-002
1.650000000e+003	2.000000000e+000	1.150000000e+000	1.000000000e+000	8.000000000e-001	2.500000000e-002
1.650000000e+003	2.000000000e+000	1.100000000e+000	1.100000000e+000	8.000000000e-001	2.600000000e-002
1.650000000e+003	2.200000000e+000	1.100000000e+000	1.100000000e+000	8.000000000e-001	2.400000000e-002
1.650000000e+003	2.200000000e+000	1.100000000e+000	1.100000000e+000	8.000000000e-001	2.500000000e-002
1.650000000e+003	2.200000000e+000	1.150000000e+000	1.100000000e+000	8.000000000e-001	2.400000000e-002
1.650000000e+003	2.200000000e+000	1.100000000e+000	1.100000000e+000	9.000000000e-001	2.500000000e-002
1.650000000e+003	2.200000000e+000	1.100000000e+000	1.100000000e+000	9.000000000e-001	2.700000000e-002
1.650000000e+003	2.200000000e+000	1.100000000e+000	1.500000000e+000	9.000000000e-001	2.600000000e-002
1.650000000e+003	3.000000000e+000	1.150000000e+000	1.500000000e+000	8.000000000e-001	2.900000000e-002
1.650000000e+003	3.000000000e+000	1.100000000e+000	1.500000000e+000	7.000000000e-001	3.000000000e-002
1.650000000e+003	3.000000000e+000	1.100000000e+000	1.500000000e+000	7.500000000e-001	2.800000000e-002
1.650000000e+003	3.000000000e+000	1.150000000e+000	1.660000000e+000	8.500000000e-001	3.200000000e-002
1.650000000e+003	3.330000000e+000	1.100000000e+000	1.500000000e+000	8.000000000e-001	3.300000000e-002
1.700000000e+003	4.000000000e+000	1.100000000e+000	1.500000000e+000	7.000000000e-001	3.900000000e-002
1.650000000e+003	4.000000000e+000	1.100000000e+000	1.500000000e+000	7.000000000e-001	4.000000000e-002
1.650000000e+003	4.000000000e+000	1.150000000e+000	1.500000000e+000	8.500000000e-001	3.500000000e-002
1.700000000e+003	1.250000000e+001	1.000000000e+000	1.500000000e+000	7.000000000e-001	5.600000000e-002
1.700000000e+003	1.850000000e+001	1.000000000e+000	1.500000000e+000	7.000000000e-001	6.800000000e-002
